dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/D/short,waveform,551.4958333333333,551.4958333333333,12.424224950396825,1.592981872672767,1.473794540172906,0.5135394383990576,23.3933643967636,23.483948418724932,0.14141175221467026,0.07481414065549344,0.06819037119600625,Nature,21
us_births/D/short,waveform,1662365.76,1662365.76,1168.9932291666667,1.7218821467327154,0.11233713785807292,0.11228591918945313,8.338840784159602,1289.3276387326846,0.1208640038408567,0.10958362940145494,0.08278660385838824,Healthcare,1
ett1/H/long,waveform,856.7799603174603,856.7799603174603,18.708771494708994,3.3267131565336334,25705909071044.89,0.773452484292328,82.86792906746356,29.270803889156518,1.4017154020918752,0.8959225464957574,0.8185944838423785,Energy,7
m_dense/D/short,waveform,23135.71851851852,23135.71851851852,96.37377314814815,1.3083489328999165,0.21931108003903355,0.19168477376302084,11.382846583511668,152.1043014464697,0.26331504497728636,0.16683725686788856,0.13235939778406292,Transport,1
bizitobs_service/10S/long,waveform,10973064.37079365,10973064.37079365,1378.8639153439153,40.157327838342546,1.0348950066137566,1.1976667906746032,1347.7403479693273,3312.561602565853,2.4540515351133823,1.0215064696581488,0.981018668304373,Web/CloudOps,2
saugeen/W/short,waveform,1810.553125,1810.553125,23.992268371582032,1.9455832934797548,0.8182903289794922,0.5253342151641845,54.03694208174878,42.55059488420814,1.284425088477182,0.724226570975026,0.6749995678203767,Nature,1
bizitobs_l2c/5T/long,waveform,1120.952619047619,1120.952619047619,19.599747023809524,1.822734636351416,1.3673593922973382,1.343572189509088,63.515106797508324,33.48063050552691,1.8798873492528154,1.1004964937124675,1.0633933011234205,Web/CloudOps,7
solar/W/short,waveform,1420264.408759124,1420264.408759124,947.9945255474453,1.0325446874066864,0.21110353678682425,0.1868896762820056,5.285607005118688,1191.7484670680824,0.24326565731074218,0.19350938369707998,0.14549140124522572,Energy,1
sz_taxi/15T/medium,waveform,86.09325587606837,86.09325587606837,6.190100827991453,1.2868444236636054,12401999809712.793,0.8224218645666399,33.94679025451164,9.278645153041923,0.8635328060286773,0.5760922041342933,0.5320003528953688,Transport,1
bizitobs_l2c/5T/medium,waveform,360.1093962585034,360.1093962585034,12.512189094387756,1.1863252763677852,0.8021652167871928,1.072463677853954,39.05521473009711,18.976548586571358,0.9984455178859566,0.6583251460738975,0.6361156536814015,Web/CloudOps,7
sz_taxi/H/short,waveform,11.383857922676283,11.383857922676283,2.4577527168469553,0.7631000620204982,1.9154901749048479,0.36132926614875466,8.27268050358541,3.3739973210831513,0.31430867101774407,0.22895483209050785,0.18961484384129335,Transport,1
m_dense/H/long,waveform,737450.0345679013,737450.0345679013,464.63574074074074,3.6199702530416826,2.3739877298832783,0.7870343243634259,78.93115257241242,858.7491103738631,1.486621656259289,0.8043531528743519,0.7266045406161675,Transport,1
