dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,mixed_real_7525,379.7294642857143,379.7294642857143,14.209297107514882,1.4180493040254964,1.0918990124962753,1.4848728724888394,35.434676508141784,19.48664835947204,1.1799461566851837,0.8603945225429386,0.7628164468564078,Web/CloudOps,7
solar/H/medium,mixed_real_7525,2690.8968369829686,2690.8968369829686,26.47708903588808,2.002148777664953,12.38511557303202,1.7031864212667276,47.24550060140417,51.87385504262208,1.8686173328054485,0.9537665449009342,0.8471772793126946,Energy,1
sz_taxi/15T/long,mixed_real_7525,20.61168091168091,20.61168091168091,3.1245431579415954,0.5925445378536468,8267329319843.228,0.4844939403044871,19.28516892435833,4.540008910969329,0.4202151376033626,0.2892021488966066,0.277483118508619,Transport,1
ett2/H/medium,mixed_real_7525,541.87109375,541.87109375,14.841392299107143,1.5140396489922534,0.2420746447903365,0.2286892845517113,31.33977498206886,23.278124790240295,0.3136877011503723,0.1999973053727108,0.1788468749333573,Energy,7
sz_taxi/H/short,mixed_real_7525,8.990595369257479,8.990595369257479,2.0631573016826925,0.6281115076056281,1.123418954702524,0.341942876832098,6.9501330455407,2.99843215185161,0.2793224579333114,0.1921958341639301,0.1582996114540176,Transport,1
jena_weather/10T/medium,mixed_real_7525,5074.240115440115,5074.240115440115,20.50642135642136,0.9073832850177798,2.441329907342521,0.769237858495671,27.361810892901836,71.23370070016098,0.4371600034334476,0.1258475573003695,0.1225673451957325,Nature,21
bizitobs_l2c/H/short,mixed_real_7525,208.0941375248016,208.0941375248016,9.229730515252976,0.9113901502110896,0.7177593862410072,1.05810304671999,11.160824062467844,14.42546836413992,0.7775696890901201,0.4975061125205099,0.3922320152743614,Web/CloudOps,7
ett1/H/medium,mixed_real_7525,315.41197916666664,315.41197916666664,9.938385881696428,1.6736935010602747,5331544341974.511,0.5222041175478981,36.490619270541295,17.75984175511332,0.8506543205135382,0.4760251248726215,0.4284674042789272,Energy,7
ett2/D/short,mixed_real_7525,123656.22857142855,123656.22857142855,207.46178075396824,1.3290183688445216,0.4784443204365079,0.1358824593680245,13.04171777343498,351.6478758238539,0.2012573572502424,0.1187358508199483,0.0989978419515242,Energy,7
electricity/H/long,mixed_real_7525,18097766.104792792,18097766.104792792,385.7256096096096,1.631319086800916,0.3963521250610464,0.1990581128003003,43.872016135569,4254.146930324902,1.677834291055271,0.1521300663425309,0.1421996131379837,Energy,1
