dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,mixed_real_2575,224.75322846912204,236.43878449939547,10.94592782883417,1.0535922383346739,1.1378246211891947,0.9882268179030645,7.495000406249597,14.991772025652006,0.9077745893140778,0.66279257198412,0.5200145498766564,Web/CloudOps,7
ett2/H/medium,mixed_real_2575,588.57598059518,576.7952768416632,15.459861101422991,1.7172336428695563,0.26916639811824483,0.28744264841079714,13.839145425960576,24.260584918653137,0.32692695596774135,0.20833155286731256,0.16697512798280778,Energy,7
ett2/D/short,mixed_real_2575,360839.5271825397,127365.51066468254,221.3695608956473,1.4647478016588915,0.4184196623544844,0.15668863985273573,19.8816136352373,600.6991985865635,0.34379598028715236,0.12669563297725678,0.1037185768024988,Energy,7
ett1/H/medium,mixed_real_2575,287.6375954037621,305.6528898057484,9.957332365853446,1.7419490713280292,3504392340981.724,0.595918892111097,13.499169314718689,16.959881939558485,0.8123381794598918,0.47693263875190733,0.3759464233308318,Energy,7
bizitobs_l2c/H/short,mixed_real_2575,133.14050644919985,142.28825827628847,7.569962185526651,0.7495452312094123,0.660411381750084,0.782483012666778,6.954660973136597,11.538652713779015,0.6219629830861477,0.4080403821441905,0.33055899284005014,Web/CloudOps,7
bizitobs_application/10S/medium,mixed_real_2575,22500894.002304688,21923816.54034505,2332.5934606933592,8.914939764706904,0.12509531974792482,0.12231108983357747,102.21117643924775,4743.5107254337145,0.18626370966566697,0.0915940821638799,0.08537461948958279,Web/CloudOps,2
solar/W/short,mixed_real_2575,3313136.769046533,3417894.1409101277,1530.6637292569571,1.6943867280887202,0.35392534547913684,0.2852318010626048,17.192611116341624,1820.20239782463,0.3715488002129683,0.31244672175721633,0.2567365523471701,Energy,1
sz_taxi/15T/medium,mixed_real_2575,75.0513413127671,29.37091818263388,4.013544023138845,0.792963907848562,12955420111729.154,0.5173788071188152,9.283160373334276,8.663217722807564,0.8062569920619583,0.37352725455403585,0.2948714085479266,Transport,1
bizitobs_application/10S/long,mixed_real_2575,26099611.026197918,24410704.05231771,2639.2095369466147,8.56994475821041,0.11662823571099175,0.11899297502305772,123.03322666550503,5108.777840755842,0.19702515638372212,0.10178377059147774,0.0931848108529974,Web/CloudOps,2
m_dense/H/medium,mixed_real_2575,146473.42471218534,147887.18207546658,176.79671934339734,1.3643212601135573,0.612402740716685,0.3560602511299981,16.236902852246285,382.71846664641794,0.6658818042733053,0.30760396669007833,0.259799725384796,Transport,1
sz_taxi/15T/long,mixed_real_2575,105.65176961089132,37.261474737618386,4.5573216364933895,0.8777094881170229,8372575635040.698,0.5475132196377486,10.027799532945059,10.278704666002001,0.9513785365433927,0.42181754705197166,0.32585711799283673,Transport,1
sz_taxi/H/short,mixed_real_2575,9.740040578393854,8.258230443184193,2.025176849884865,0.6178176436787103,1.2274809926748276,0.3170875075599577,6.356219918770972,3.1209038079367097,0.29073145017426355,0.18865772182053545,0.15087781518852372,Transport,1
us_births/D/short,mixed_real_2575,777821.0033333333,750064.5383333333,700.9990999348959,1.032789440943491,0.06611624777317048,0.066868883172671,6.793265312902569,881.9416099342027,0.0826748693879501,0.06571297733929556,0.05218552130402556,Healthcare,1
solar/H/medium,mixed_real_2575,1507.6576864497795,1611.7826843113214,20.822593987829205,1.587372275947147,4.306032188304118,1.4779357622429692,16.677420710837197,38.82856791654541,1.398695642113834,0.7500784353128839,0.6185090135431806,Energy,1
saugeen/D/short,mixed_real_2575,1305.5778588867188,1296.9238263066609,15.21590649286906,3.3788198129799207,0.4195691235860189,0.4120331366856893,49.42741661684652,36.13278094593217,1.1703493666780556,0.49284682942087893,0.4221911046856841,Nature,1
ett1/15T/long,mixed_real_2575,32.29813834144956,33.8268636030621,3.2574385113186306,1.9258515635157214,1.2020411395361112,0.6460329231383308,14.910854532867262,5.6831451100116706,1.0832130203797194,0.620870968494314,0.48758044341945805,Energy,7
solar/D/short,mixed_real_2575,129302.77988518856,140949.11904273115,274.9802080957269,1.0712816650094705,1.065844073144769,0.4596496290824129,6.717571572280173,359.58695733464606,0.5194806956711795,0.39725275592917253,0.3056771584514723,Energy,1
bizitobs_l2c/5T/medium,mixed_real_2575,95.02770554419277,92.39933263039103,6.583741019372226,0.6620109260184069,0.4888447750423172,0.8082286369232904,6.764198878229971,9.748215505629364,0.5128995038795032,0.3464016055612567,0.2843069289308209,Web/CloudOps,7
m4_hourly/H/short,mixed_real_2575,3556270.1051836438,3430229.7042009663,329.7500402400939,1.0324523177472391,0.10002623402270609,0.09131702698089314,9.40335172800499,1885.8075472284131,0.25745438410130317,0.045018164044451435,0.03455893186931652,Econ/Fin,1
