dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,mixed_real_7525,143.94178975423176,140.24033813476564,8.103160821823847,0.8144461160609087,0.9605998060842521,0.8763440994989304,6.2603304392169115,11.997574327931115,0.7264713664046748,0.4906587076291373,0.37966221004535405,Web/CloudOps,7
ett2/D/short,mixed_real_7525,143862.5226128472,128726.23486483135,217.41070672898064,1.4330581188325962,0.45049231752516733,0.1504175393354325,19.106264800807836,379.29213360264566,0.21707888273191364,0.1244298764184907,0.10192283695420096,Energy,7
ett2/H/medium,mixed_real_7525,405.5089698609852,384.68668705168227,12.272587135859899,1.388432855690659,0.22431848162525916,0.23420746752193997,11.663525433634623,20.1372532849191,0.2713624152123489,0.16538099009684898,0.13325866902046654,Energy,7
bizitobs_l2c/H/short,mixed_real_7525,118.31339443676056,129.09668322025783,7.027941483353811,0.6957378001294834,0.6195372765441592,0.7912491283837765,6.166992588729986,10.877196074207752,0.5863087732806475,0.37882407577115135,0.30610615398991786,Web/CloudOps,7
ett1/H/medium,mixed_real_7525,210.57167583193097,218.5437812214806,8.703153008506412,1.5611449703197935,1254167722496.0417,0.5273023923238118,12.041842368693219,14.511088030603736,0.6950467506066695,0.41686041776037436,0.32685615676090785,Energy,7
bizitobs_application/10S/medium,mixed_real_7525,28786817.765032552,22978620.391790364,2365.7746709187827,7.780153164092296,0.10548784891764323,0.10826655705769857,70.50777190712974,5365.334823199066,0.21068091243244064,0.09289701066252234,0.08234783400000839,Web/CloudOps,2
solar/W/short,mixed_real_7525,2458904.802406478,2749804.287921989,1349.3093484474796,1.488510893136,0.31060364015781095,0.25543703508638116,9.468053525148047,1568.0895390271814,0.32008626488370845,0.27542776019356985,0.20673559979505557,Energy,1
sz_taxi/15T/medium,mixed_real_7525,61.242091323982955,26.392404702993538,3.6274742778549847,0.7186603477585487,13963279213767.482,0.4725352960264581,8.771436842148711,7.825732638161296,0.7283150279040002,0.3375970215253529,0.2662352839584061,Transport,1
bizitobs_application/10S/long,mixed_real_7525,32551349.068055555,21149202.541319445,2492.6379871961803,7.932550489303331,0.10712827894422743,0.11041358947753906,110.52331004666226,5705.378959197676,0.22003367864162385,0.09613109133801635,0.0915840675477226,Web/CloudOps,2
sz_taxi/15T/long,mixed_real_7525,104.66057052394943,37.88575618559139,4.426122851249499,0.8612197621359416,8483395159749.739,0.5300335717676712,9.889307565163497,10.230374896549463,0.946905219444856,0.40967402193304703,0.3152434625787822,Transport,1
m_dense/H/medium,mixed_real_7525,70803.53699815538,65381.02811930339,117.46713622199165,0.9587719997352953,0.40309624475565914,0.2626199438836839,9.778043020565415,266.08934025652997,0.4629618516725681,0.20437798388908765,0.16510181541986907,Transport,1
ett1/15T/long,mixed_real_7525,16.69399232031807,17.247119230013045,2.380487733568464,1.537862690712405,0.9890118988776705,0.5676430615924654,11.351657615107474,4.085828229419106,0.7787628595555433,0.45372329193443267,0.35584447135401287,Energy,7
us_births/D/short,mixed_real_7525,332045.5425,328487.00958333333,417.35899251302084,0.6141913583650784,0.039932591815789543,0.039602211018403374,5.27554768882237,576.2339303616197,0.05401725510275702,0.039124018875211816,0.031438281653461714,Healthcare,1
saugeen/D/short,mixed_real_7525,1475.7809783935547,1556.367892074585,15.759058405558267,3.501329064126665,0.38457520802815753,0.41455456852912903,59.17517102897599,38.415894866494455,1.2442999694556904,0.5104396490263501,0.44342401825713385,Nature,1
solar/D/short,mixed_real_7525,123274.55563412409,132538.49908378953,277.79425907181417,1.0832211146285275,0.9523766966631813,0.47775024810846706,6.179254741185441,351.1047644708401,0.5072268156017578,0.4013181012619053,0.3026142638935673,Energy,1
sz_taxi/H/short,mixed_real_7525,9.024011574749254,8.174243482195923,2.0045026076527743,0.6115773053834216,1.2279852971307232,0.3130315360573367,6.07617324855798,3.0039992634401984,0.27984107038524264,0.18673178856680808,0.15014425262670977,Transport,1
solar/H/medium,mixed_real_7525,716.3430229910969,722.7604518621217,12.74137416477621,0.9725814567465807,4.687469980756891,1.4240645499125015,9.784099859656461,26.76458523854044,0.9641228287530778,0.4589740357439338,0.3709742561597304,Energy,1
bizitobs_l2c/5T/medium,mixed_real_7525,238.01560934157598,262.0403959598671,10.520150781488743,0.9744891435951828,0.6234733601940204,1.00117379816211,10.581981938165425,15.427754513913422,0.8117267854400074,0.5535146523430067,0.4679935976532506,Web/CloudOps,7
m4_hourly/H/short,mixed_real_7525,1175630.528949659,1460087.0513206692,249.47830468723356,0.9388374260769302,0.10403071795800183,0.09294894449495307,7.811316305352843,1084.2649717433737,0.1480261179954839,0.03405929909140902,0.026321513585334664,Econ/Fin,1
m_dense/D/short,mixed_real_7525,13373.155740831164,13584.443569968895,61.37780480278863,0.8785319440027317,0.15503655587239473,0.12850474812366344,8.885986634945201,115.64236135962965,0.2001940334632116,0.10625405918836114,0.08729713760890838,Transport,1
jena_weather/10T/medium,mixed_real_7525,6346.628345213708,2489.8553621741935,12.872715598857845,0.7328162560789079,1.0666524499538412,0.7382224291692049,10.527976686730913,79.66572879986542,0.48890722329750286,0.07899963678919701,0.07059525636188889,Nature,21
ett1/D/short,mixed_real_7525,42841.7693328373,44047.66121109251,139.98584551130023,1.7138436441030531,1.3265795083273024,0.4813611250075083,13.052976131787268,206.98253388350741,0.543646511399731,0.3676774804602197,0.2839746515276965,Energy,7
jena_weather/H/short,mixed_real_7525,1418.30129244736,1205.9595557376645,9.216144918230468,0.5954219899571204,3.002043399494852,0.6284539207595159,11.777918915761191,37.66034110901493,0.23085548159947097,0.0564943787266791,0.047892644229619676,Nature,21
kdd_cup_2018/H/medium,mixed_real_7525,5643.235256596888,5733.871463605182,28.38748031076345,1.1520628086493985,0.9552074614681011,0.6317196975932109,12.301006412153265,75.12147001088894,1.5724284182543768,0.5942013748773928,0.4884926865754897,Nature,1
restaurant/D/short,mixed_real_7525,162.95208164507616,160.81721093217743,7.7572749963469825,0.7420299145910619,0.6779911063282366,0.42334360081886524,6.09939128927933,12.765268569249773,0.5874872363869765,0.35700776875746687,0.2835280195311502,Sales,1
bizitobs_service/10S/short,mixed_real_7525,34848.67728610223,32223.284985622326,51.25403356169424,1.8988423206463019,0.15923795092658027,0.09776820120936124,22.621628286193392,186.67800429108468,0.13829703659511544,0.03797062745579943,0.03228459254664909,Web/CloudOps,2
loop_seattle/D/short,mixed_real_7525,19.807073723445612,19.6906954964125,3.128954993878848,0.9359594015301769,0.05805148531685673,0.057786504979657684,8.452654112243152,4.4505138718406005,0.07953662785380544,0.05591860537590554,0.04542074727959597,Transport,1
solar/H/long,mixed_real_7525,1779.4781925000316,1757.0649454851607,21.928439844631125,1.6776798185652848,6.514977716118246,1.5161110635898216,20.515761001840783,42.18386175423051,1.4625915545718915,0.760299071444752,0.6378508779456333,Energy,1
us_births/W/short,mixed_real_7525,3695262.7276785714,3571770.8616071427,1440.5640345982142,1.3096259565957475,0.019374116390411342,0.01945592336622732,12.655267317424997,1922.3066164580955,0.026095123827747424,0.01955551551599172,0.015599066533584147,Healthcare,1
ett1/15T/short,mixed_real_7525,5.308165959605859,5.4561812838007295,1.282421343383335,0.845317723702838,0.4102549756155474,0.28006123137615974,6.014454313226783,2.3039457371226995,0.4355416281903148,0.2424310047426444,0.19137736874437844,Energy,7
loop_seattle/H/long,mixed_real_7525,125.28942455321929,130.83311524340326,6.797124515319552,1.3908237659542064,0.2391577583471442,0.14611231872294833,15.132250085718635,11.193275863357398,0.20003879222758533,0.12147369503472587,0.09939383543091505,Transport,1
kdd_cup_2018/H/long,mixed_real_7525,13509.212565737755,4457.984892061394,26.67046737092037,1.114131869751347,1.0464870239729942,0.6755237199286253,12.594043987123795,116.22913819579733,2.7272052526439174,0.625796937269834,0.5079169798591489,Nature,1
