dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,waveform,532.3074404761904,532.3074404761904,16.545053245907738,1.6497102024060004,1.7701206017828763,1.4268551196659964,34.87883083578111,23.071788844304866,1.397031858557497,1.001828104532466,0.8904472801937927,Web/CloudOps,7
ett2/D/short,waveform,107028.49523809523,107028.49523809523,217.38829365079366,1.5992472521657595,0.5032524956597222,0.15755063011532738,13.379360395628092,327.1520980187889,0.1872377773131066,0.12441705605301014,0.10038680716720731,Energy,7
bizitobs_l2c/H/short,waveform,256.9390345982143,256.9390345982143,10.009068080357142,0.9687360954326766,0.6869530986538894,0.9499551682245164,12.709437035370883,16.029317970463193,0.8640212904007758,0.5395144031976237,0.4618428416245087,Web/CloudOps,7
ett2/H/medium,waveform,1731.63125,1731.63125,25.56172805059524,2.7394883412979323,0.390061310784102,0.4348468598865327,64.22122202687869,41.61287360901672,0.5607602321191398,0.3444607236139589,0.3250714457625501,Energy,7
ett1/H/medium,waveform,1021.0316220238095,1021.0316220238095,18.747355143229168,2.9704065143886624,7203689554131.5205,0.8524959019252232,64.03146556494944,31.953585432996555,1.530500996533431,0.8979538709120574,0.8121979409404972,Energy,7
bizitobs_application/10S/medium,waveform,209936452.26666668,209936452.26666668,8247.716666666667,24.7412660030848,0.364853998819987,0.3649831136067708,719.2139138884028,14489.183975181855,0.568947610488932,0.32386355901943353,0.316901301842175,Web/CloudOps,2
solar/W/short,waveform,1280804.788321168,1280804.788321168,849.4740533759124,0.9218810751164195,0.18154992152304544,0.1657773456434264,5.379224716012359,1131.7264635596218,0.23101366577051796,0.1733988921935038,0.13403313514546525,Energy,1
sz_taxi/15T/long,waveform,82.34472934472934,82.34472934472934,5.9515018474002845,1.1900537622344192,8720754278922.794,0.7747258808538106,32.188873854443976,9.07439966855821,0.8399102689375444,0.5508604094827675,0.5110973439327858,Transport,1
sz_taxi/15T/medium,waveform,53.517601495726495,53.517601495726495,5.110856119791666,1.0637639669126675,11830722355214.004,0.708257326305422,25.399526168208258,7.31557253369321,0.6808361321647662,0.4756504698194697,0.43322664539208644,Transport,1
bizitobs_application/10S/long,waveform,39729511.53777778,39729511.53777778,4078.6475,25.51441946221005,0.39123148600260416,0.3096145968967014,633.1068714492212,6303.135056285703,0.24308672477008375,0.15729713125502,0.15369186852997233,Web/CloudOps,2
solar/D/short,waveform,118882.7795620438,118882.7795620438,270.57834549878345,1.0568151084259183,0.934735864792427,0.4699328642982056,14.246847919689023,344.79382181536226,0.498109634238828,0.39089354907733803,0.3343933334129035,Energy,1
sz_taxi/H/short,waveform,13.307152902978098,13.307152902978098,2.615138388087607,0.8160421224250426,1.3861446543636484,0.3647796109191373,9.638042477535244,3.647897052135394,0.33982412116976457,0.24361627857589044,0.2043360576577118,Transport,1
us_births/D/short,waveform,1706381.6533333333,1706381.6533333333,1188.1513541666666,1.7502403477548212,0.11363444010416666,0.11413045247395834,8.174264916008502,1306.2854409865147,0.1224536601975249,0.11137954816098732,0.08393640187809655,Healthcare,1
m_dense/H/medium,waveform,751084.3733333333,751084.3733333333,461.7216666666667,3.8975052154628167,2.131508556677235,0.8287201605902778,84.24670465794458,866.6512408883594,1.5078636693950516,0.8033373676653904,0.7212971078787624,Transport,1
saugeen/D/short,waveform,1423.0238541666668,1423.0238541666668,19.239163411458332,4.2728680569888065,0.6763481648763021,0.5385239156087239,51.76361341493213,37.722988404508285,1.2218565825056384,0.6231610869244552,0.5154574027960287,Nature,1
m4_hourly/H/short,waveform,18953316.58615137,18953316.58615137,606.9810789049919,6.917745127044935,0.41945275937877413,0.24742286178416867,79.25392614371306,4353.54069535951,0.5943543993893343,0.08286631499225605,0.06626543701350314,Econ/Fin,1
solar/H/medium,waveform,3394.555231143552,3394.555231143552,38.597411040145985,2.9733931092757104,8.3126002993731,1.7318429399311583,67.71447044244317,58.26281173393155,2.0987624647243113,1.3903688324643069,1.2419882385357295,Energy,1
ett1/15T/long,waveform,40.95802331349206,40.95802331349206,4.03867931547619,3.035425537540251,1.7617675985109047,0.8832366846478175,76.89879702713672,6.399845569503381,1.219816893347479,0.7697762707441664,0.6983661436302183,Energy,7
bizitobs_l2c/5T/medium,waveform,240.27136479591837,240.27136479591837,10.618233816964286,1.0149483020154684,0.7359924893474984,1.0427758713265003,29.791537927975146,15.500689171643897,0.8155641979344521,0.5586752466628908,0.5274975203462636,Web/CloudOps,7
m_dense/D/short,waveform,20266.157037037035,20266.157037037035,92.13340277777777,1.3017980654397718,0.21728493002629262,0.19290002893518518,12.413025929539543,142.3592534296139,0.2464449253786814,0.15949654852383574,0.12604350759099925,Transport,1
restaurant/D/short,waveform,212.84150555711216,212.84150555711216,9.050397082516112,0.8465591534859017,0.8335268764009527,0.4685622030272252,17.42479446974263,14.589088578698538,0.6714236589703124,0.41652024329674014,0.3738593768595575,Sales,1
jena_weather/H/short,waveform,2448.9807852965746,2448.9807852965746,14.783759529030911,1.0099897733213454,2.115187434432223,0.6989982161397117,44.65599429537685,49.48717798881418,0.3033532152449403,0.09062349418173025,0.1560531145555406,Nature,21
